WR1000_N100	1.21258986224	1.21255972186
WR1000_N200	1.21280906327	1.21291336404
WR1000_N400	1.21335740837	1.21340897715
WR1000_N600	1.21386288135	1.2138074972
WR1000_N800	1.21471269072	1.21483360998
WR1000_N900	1.21684638242	1.21693957697
WR1200_N100	1.22894563864	1.22885278224
WR1200_N1000	1.23378258419	1.23424184809
WR1200_N1100	1.23841336008	1.23857896272
WR1200_N200	1.2292968711	1.22930241004
WR1200_N400	1.2301142612	1.22998535852
WR1200_N600	1.23069224032	1.23080885967
WR1200_N800	1.23157491927	1.23165380069
WR1400_N100	1.24852316251	1.2485166429
WR1400_N1000	1.25241006351	1.25255865432
WR1400_N1200	1.25439481649	1.25487915834
WR1400_N1300	1.25816766109	1.25844815038
WR1400_N200	1.24909489705	1.24904657987
WR1400_N400	1.25014929344	1.24995575282
WR1400_N600	1.25088039649	1.25087038077
WR1400_N800	1.25168843606	1.25160488702
WR1600_N100	1.26420462735	1.26404386464
WR1600_N1000	1.26889313961	1.26879093168
WR1600_N1200	1.26972110511	1.26993353946
WR1600_N1400	1.27214939214	1.27222789317
WR1600_N1500	1.27648672105	1.27671999061
WR1600_N200	1.26519040073	1.26506491598
WR1600_N400	1.2661922475	1.26609761792
WR1600_N600	1.26735212023	1.2671516997
WR1600_N800	1.26802318003	1.26779463547
WR1800_N100	1.27559874845	1.27497716573
WR1800_N1000	1.28057219662	1.28051130358
WR1800_N1200	1.28107821987	1.28114375871
WR1800_N1400	1.28187800605	1.28213134187
WR1800_N1600	1.28366311656	1.28409975557
WR1800_N1700	1.28853289505	1.2885906565
WR1800_N200	1.27666822528	1.27651011413
WR1800_N400	1.27792157074	1.27808339054
WR1800_N600	1.27906582794	1.27902195813
WR1800_N800	1.27998461481	1.27984028842
WR2000_N100	1.29166031015	1.29142444458
WR2000_N1000	1.29883437324	1.29846363122
WR2000_N1200	1.29944056841	1.29906687897
WR2000_N1400	1.30015152616	1.30054469533
WR2000_N1600	1.30183395981	1.30239216105
WR2000_N1800	1.30648519542	1.3065230341
WR2000_N1900	1.31413169741	1.31355031064
WR2000_N200	1.29315630018	1.29337025645
WR2000_N400	1.29469461028	1.2949499219
WR2000_N600	1.29654852458	1.29641734143
WR2000_N800	1.29760766218	1.29760849724
WR2200_N100	1.31180116931	1.31200768601
WR2200_N1000	1.32113414616	1.32083892068
WR2200_N1200	1.32198435999	1.32183042722
WR2200_N1400	1.32278651512	1.32264928678
WR2200_N1600	1.32377745217	1.32358564495
WR2200_N1800	1.32478768063	1.32502252948
WR2200_N200	1.31386586376	1.3141810077
WR2200_N2000	1.32742274571	1.3277704998
WR2200_N2100	1.33245531806	1.33200724998
WR2200_N400	1.31639976717	1.31628838179
WR2200_N600	1.31854022723	1.31849433637
WR2200_N800	1.31966967726	1.3197788443
WR2400_N100	1.31824891455	1.31819547723
WR2400_N1000	1.32884564595	1.32864544235
WR2400_N1200	1.32975945512	1.32969093251
WR2400_N1400	1.33032226346	1.33026060099
WR2400_N1600	1.33101143307	1.33094304893
WR2400_N1800	1.33160196496	1.33171287902
WR2400_N200	1.32087591777	1.32024914962
WR2400_N2000	1.33229726851	1.33256971165
WR2400_N2200	1.33488166319	1.33475495703
WR2400_N2300	1.33993329867	1.33956794164
WR2400_N400	1.32406693301	1.32361172529
WR2400_N600	1.32620689112	1.32606509838
WR2400_N800	1.32775337653	1.32736705036
WR2600_N100	1.32743632912	1.32710671206
WR2600_N1000	1.34009834976	1.34016191135
WR2600_N1200	1.34124754623	1.34154101651
WR2600_N1400	1.34218513658	1.34209433662
WR2600_N1600	1.34295727081	1.34303344917
WR2600_N1800	1.34384398162	1.34363690613
WR2600_N200	1.3299619885	1.33022586699
WR2600_N2000	1.34446061511	1.34483177912
WR2600_N2200	1.34632951147	1.34640287251
WR2600_N2400	1.35149474163	1.35134509993
WR2600_N2500	1.35983968645	1.35936571013
WR2600_N400	1.33429970852	1.33419312315
WR2600_N600	1.33660382786	1.33677825932
WR2600_N800	1.33879786422	1.3385661069
WR2800_N100	1.34289883201	1.34254849734
WR2800_N1000	1.36020308866	1.36015221301
WR2800_N1200	1.36142185895	1.36160968474
WR2800_N1400	1.36279058744	1.36295496689
WR2800_N1600	1.36407835688	1.36406767145
WR2800_N1800	1.36478890039	1.36477274879
WR2800_N200	1.34683559667	1.34694991485
WR2800_N2000	1.36566066097	1.36562351461
WR2800_N2200	1.36683132453	1.36670160562
WR2800_N2400	1.36847516714	1.3687932724
WR2800_N2600	1.3729031979	1.37316780326
WR2800_N2700	1.37952141323	1.37999670532
WR2800_N400	1.35208233576	1.3519589156
WR2800_N600	1.35574020182	1.35552056556
WR2800_N800	1.35838834689	1.35827312494
WR3000_N100	1.35351457797	1.35327940239
WR3000_N1000	1.37528841095	1.37540919055
WR3000_N1200	1.37717816033	1.3771651046
WR3000_N1400	1.37852249313	1.37852200694
WR3000_N1600	1.37983263122	1.3796579888
WR3000_N1800	1.38081837845	1.38082691847
WR3000_N200	1.35797856366	1.35810924995
WR3000_N2000	1.38172711044	1.38173243867
WR3000_N2200	1.38231358461	1.38251312297
WR3000_N2400	1.38347109418	1.38362425578
WR3000_N2600	1.38499368138	1.38540997448
WR3000_N2800	1.38864429893	1.38877735459
WR3000_N2900	1.3944862507	1.3943673579
WR3000_N400	1.36518602996	1.36446435518
WR3000_N600	1.36948768641	1.36985950701
WR3000_N800	1.37285771307	1.37265557785
WR3200_N100	1.36262361577	1.36225123013
WR3200_N1000	1.39142239716	1.39104461641
WR3200_N1200	1.39353877211	1.39327411382
